talker,Sum of  nsyll,Sum of  npause,Sum of  dur(s),Sum of  phonationtime(s),Average of  speechRate(nsyll/dur),Average of  articRate(nsyll/phonationtime),Average of  ASD(speakingtime/nsyll),Average of  f0Mean(Hz),Average of  f0SD(Hz),Average of  f0CoefVar, dispersionMean(Bark),orthoSyll,sylReduction(nsyll/orthSyll)
ALL_005_M_CMN_ENG,605,6,162.56,160.55,3.729902913,3.76631068,0.277533981,186.7646117,47.64009709,0.240495146,2.198,676,0.89
ALL_011_F_CMN_ENG,558,5,170.83,168.83,3.259029126,3.291262136,0.32284466,237.016534,49.71825243,0.209048544,2.803,675,0.83
ALL_012_M_CMN_ENG,479,2,162.77,161.9,2.954271845,2.967961165,0.352640777,121.8902621,12.36532039,0.09038835,1.742,679,0.71
ALL_016_M_CMN_ENG,485,4,170.43,167.03,2.851262136,2.906893204,0.357747573,127.6404272,21.32625243,0.160699029,1.857,681,0.71
ALL_018_F_CMN_ENG,693,110,271.44,227.83,2.587378641,3.080582524,0.340679612,251.7349515,39.06338835,0.151864078,2.39,675,1.03
ALL_020_M_CMN_ENG,498,40,159.11,145.54,3.17009901,3.431188119,0.303178218,134.0714158,32.64981188,0.227712871,1.874,665,0.75
ALL_021_M_CMN_ENG,517,15,181.06,174.32,2.873592233,2.976796117,0.347291262,153.8102718,21.10246602,0.134747573,2.221,678,0.76
ALL_030_F_CMN_ENG,584,2,175.81,174.62,3.321456311,3.347961165,0.312281553,236.3933592,32.63407767,0.134961165,2.14,675,0.87
ALL_032_M_CMN_ENG,499,9,161.51,158.22,3.116336634,3.161188119,0.331762376,130.0084851,32.64369307,0.234059406,1.885,665,0.75
ALL_033_M_CMN_ENG,506,12,169.22,164.4,2.994653465,3.081386139,0.334861386,183.0687327,32.63618812,0.17319802,1.985,662,0.76
ALL_035_M_CMN_ENG,526,22,160.56,152.41,3.294466019,3.451067961,0.298961165,150.5845146,17.06719417,0.112378641,1.886,678,0.78
ALL_037_M_CMN_ENG,586,4,179.87,177.09,3.276057692,3.324615385,0.310307692,120.6416346,36.36201923,0.272759615,1.862,682,0.86
ALL_039_M_CMN_ENG,584,24,174.07,161.35,3.372815534,3.618737864,0.292067961,187.3200777,33.60298058,0.165029126,2.357,676,0.86
ALL_043_M_CMN_ENG,617,5,168.46,166.67,3.694660194,3.727281553,0.285640777,167.749699,27.01851456,0.154504854,1.918,677,0.91
ALL_099_M_SHS_ENG,627,13,249.17,188.71,2.532844037,3.351100917,0.306486239,105.3411743,15.75846789,0.148458716,2.117,715,0.88
ALL_100_F_SHS_ENG,683,9,207.03,172.82,3.313302752,3.972293578,0.260954128,209.2391468,45.68744037,0.227119266,1.937,715,0.96
ALL_101_M_SHS_ENG,667,1,203.5,173.2,3.3,3.859909091,0.264936364,112.2739,20.151,0.183145455,1.744,722,0.92
ALL_102_M_SHS_ENG,600,1,191.11,178.61,3.143577982,3.371192661,0.310513761,130.6974037,33.54355046,0.223376147,2.517,715,0.84
ALL_103_F_SHS_ENG,616,9,190.3,170.93,3.24266055,3.605688073,0.290752294,193.349633,39.29357798,0.208495413,1.967,715,0.86
ALL_104_M_SHS_ENG,670,8,196.95,175.69,3.43440367,3.859449541,0.269220183,142.5418257,32.50755046,0.229834862,1.822,715,0.94
ALL_105_M_SHS_ENG,671,47,247.18,211.85,2.745412844,3.191376147,0.324779817,147.8434587,18.33066055,0.127733945,1.516,715,0.94
ALL_106_M_SHS_ENG,596,16,193.84,169.48,3.102962963,3.527777778,0.293148148,144.2244259,24.69167593,0.166953704,1.818,709,0.84
ALL_107_F_SHS_ENG,651,11,207.79,182.43,3.153027523,3.590183486,0.289458716,205.9727064,44.76218349,0.225266055,2.146,715,0.91
ALL_108_M_SHS_ENG,578,7,187.23,172.1,3.078807339,3.362568807,0.314146789,125.4798716,24.70801835,0.185422018,1.911,715,0.81
ALL_109_F_SHS_ENG,657,10,222.2,199.72,2.961284404,3.294862385,0.315146789,242.1753486,35.20368807,0.145688073,1.717,715,0.92
KEI_KF01,554,11,169.5,155.68,3.268,3.558,0.29206,265.13172,64.73698,0.24201,2.126,629,0.88
KEI_KF03,514,1,171.3,165.72,2.999,3.1118,0.33879,204.61636,38.3046,0.18717,2.341,626,0.82
KEI_KF04,466,0,154.76,154.76,3.0082,3.0082,0.34978,224.55639,28.3127,0.12591,1.824,626,0.74
KEI_KF05,552,0,174.48,172.46,3.1675,3.2078,0.32922,218.87748,33.89329,0.15046,2.022,627,0.88
KEI_KF06,489,11,156.48,152.64,3.1137,3.1866,0.3338,268.5353,38.03946,0.14181,2.236,621,0.79
KEI_KM01,438,0,152.08,149.28,2.8795,2.9373,0.35374,129.24438,20.26798,0.13521,2.039,623,0.7
KEI_KM03,494,2,167,160.88,2.9609,3.0855,0.34252,129.50686,31.87621,0.22301,1.906,624,0.79
KEI_KM04,439,2,134.67,130.57,3.2701,3.3731,0.31677,130.74252,21.88692,0.15912,1.703,624,0.7
KEI_KM05,560,3,172.11,166.18,3.2608,3.3789,0.30826,159.3564,31.06219,0.17977,1.908,624,0.9
KEI_KM06,439,2,150.96,146.72,2.9096,3.0022,0.34788,107.52276,25.33056,0.18468,1.599,625,0.7